inventory_accounting_id,dealership_id,vehicle_id,accounting_date,acquisition_date,control_account_category,acquisition_cost,capitalized_transportation,capitalized_reconditioning,capitalized_accessories,other_capitalized_costs,write_down_amount,current_book_value,floorplan_principal,days_in_stock,source_system
IAS-00000387,GSA-002,VEH-0000410,2025-08-31,2025-08-18,Certified Vehicle Inventory,34383.90,450.00,1739.18,0.00,425.00,0.00,36998.08,34383.90,13,SYNTHETIC-DMS-ACCOUNTING
IAS-00000388,GSA-002,VEH-0000412,2025-08-31,2025-07-22,Used Vehicle Inventory,2962.85,0.00,1090.34,0.00,0.00,0.00,4053.19,2962.85,40,SYNTHETIC-DMS-ACCOUNTING
IAS-00000389,GSA-002,VEH-0000423,2025-08-31,2025-06-06,New Vehicle Inventory,37038.65,895.00,7.00,0.00,0.00,0.00,37940.65,37038.65,86,SYNTHETIC-DMS-ACCOUNTING
IAS-00000390,GSA-002,VEH-0000429,2025-08-31,2025-06-27,New Vehicle Inventory,34861.81,895.00,89.00,395.00,0.00,0.00,36240.81,34861.81,65,SYNTHETIC-DMS-ACCOUNTING
IAS-00000391,GSA-002,VEH-0000431,2025-08-31,2025-07-11,Used Vehicle Inventory,10205.25,450.00,2062.77,575.00,0.00,0.00,13293.02,10205.25,51,SYNTHETIC-DMS-ACCOUNTING
IAS-00000392,GSA-002,VEH-0000446,2025-08-31,2025-08-27,New Vehicle Inventory,22613.34,895.00,106.00,249.00,0.00,0.00,23863.34,22613.34,4,SYNTHETIC-DMS-ACCOUNTING
IAS-00000393,GSA-002,VEH-0000450,2025-08-31,2025-08-15,Certified Vehicle Inventory,3444.59,0.00,1215.59,0.00,425.00,0.00,5085.18,0.00,16,SYNTHETIC-DMS-ACCOUNTING
IAS-00000394,GSA-002,VEH-0000454,2025-08-31,2025-08-25,Used Vehicle Inventory,31685.16,0.00,1849.84,0.00,0.00,0.00,33535.00,0.00,6,SYNTHETIC-DMS-ACCOUNTING
IAS-00000395,GSA-002,VEH-0000457,2025-08-31,2025-07-30,Certified Vehicle Inventory,12590.82,325.00,2670.63,0.00,425.00,0.00,16011.45,0.00,32,SYNTHETIC-DMS-ACCOUNTING
IAS-00000396,GSA-002,VEH-0000467,2025-08-31,2025-06-17,Used Vehicle Inventory,1676.12,0.00,755.79,0.00,0.00,0.00,2431.91,1676.12,75,SYNTHETIC-DMS-ACCOUNTING
IAS-00000397,GSA-002,VEH-0000494,2025-08-31,2025-04-24,Used Vehicle Inventory,15829.92,450.00,3011.01,0.00,0.00,633.20,18657.73,15829.92,129,SYNTHETIC-DMS-ACCOUNTING
IAS-00000398,GSA-002,VEH-0000499,2025-08-31,2025-08-22,Certified Vehicle Inventory,15167.26,0.00,1680.02,0.00,425.00,0.00,17272.28,15167.26,9,SYNTHETIC-DMS-ACCOUNTING
IAS-00000399,GSA-002,VEH-0000510,2025-08-31,2025-08-22,Used Vehicle Inventory,1795.80,450.00,786.91,0.00,0.00,0.00,3032.71,1795.80,9,SYNTHETIC-DMS-ACCOUNTING
IAS-00000400,GSA-002,VEH-0000513,2025-08-31,2025-04-11,New Vehicle Inventory,35625.27,895.00,40.00,0.00,0.00,1425.01,35135.26,35625.27,142,SYNTHETIC-DMS-ACCOUNTING
